@relation  saggedV+AngleChange+NegSeq

@attribute v_sag_1 numeric
@attribute delta_v numeric
@attribute sub_phase_2_1 numeric
@attribute sub_phase_3_2 numeric
@attribute class {ground, line, phase, nofault}
@data
0.8952, 0.0359, 0.0823, 0.0112, ground
0.8952, 0.0359, 0.0823, 0.0112, ground
0.8955, 0.0358, 0.082, 0.0114, ground
0.8955, 0.0358, 0.0819, 0.0115, ground
0.8944, 0.0357, 0.0896, 0.0074, ground
0.8944, 0.0357, 0.0896, 0.0072, ground
0.9358, 0.0356, 0.0026, 0.0027, phase
0.936, 0.0355, 0.0023, 0.003, phase
0.9012, 0.0352, 0.0649, 0.0181, ground
0.9012, 0.0352, 0.0649, 0.0181, ground
0.9012, 0.0352, 0.0649, 0.0181, ground
0.9012, 0.0352, 0.0649, 0.0181, ground
0.9346, 0.0351, 0.006, 0.0019, phase
0.9346, 0.0351, 0.006, 0.0019, phase
0.9372, 0.035, 0.0015, 0.0038, phase
0.9373, 0.0349, 0.0014, 0.0038, phase
0.9352, 0.0348, 0.0068, 0.0001, phase
0.8995, 0.0348, 0.0776, 0.0065, ground
0.9354, 0.0348, 0.0066, 0.0001, phase
0.8995, 0.0348, 0.0776, 0.0066, ground
0.9362, 0.0343, 0.0058, 0.0017, phase
0.9363, 0.0343, 0.0058, 0.0017, phase
0.9009, 0.0342, 0.0792, 0.0023, ground
0.901, 0.0342, 0.0791, 0.0023, ground
0.9039, 0.034, 0.0655, 0.0147, ground
0.9039, 0.034, 0.0654, 0.0147, ground
0.903, 0.034, 0.0705, 0.0099, ground
0.903, 0.034, 0.0704, 0.01, ground
0.9008, 0.0339, 0.0821, 0.0013, ground
0.9008, 0.0339, 0.0821, 0.0014, ground
0.9008, 0.0339, 0.0821, 0.0014, ground
0.9009, 0.0339, 0.0821, 0.0014, ground
0.9013, 0.0338, 0.0819, 0.0003, ground
0.9013, 0.0338, 0.0819, 0.0002, ground
0.9013, 0.0338, 0.0819, 0.0002, ground
0.9014, 0.0338, 0.0819, 0.0003, ground
0.9057, 0.0337, 0.0604, 0.0192, ground
0.9058, 0.0337, 0.0604, 0.0191, ground
0.9388, 0.0337, 0.0034, 0.0018, phase
0.9059, 0.0336, 0.0628, 0.013, ground
0.9014, 0.0336, 0.0805, 0.0082, ground
0.9015, 0.0336, 0.0804, 0.0082, ground
0.9062, 0.0335, 0.0629, 0.0119, ground
0.9393, 0.0335, 0.0034, 0.0016, phase
0.9026, 0.0334, 0.0764, 0.0089, ground
0.9026, 0.0334, 0.0765, 0.0088, ground
0.9018, 0.0334, 0.0827, 0.0019, ground
0.9019, 0.0334, 0.0826, 0.0019, ground
0.9031, 0.0333, 0.0741, 0.0136, ground
0.9031, 0.0333, 0.0741, 0.0136, ground
0.9022, 0.0333, 0.0787, 0.0124, ground
0.9023, 0.0332, 0.0787, 0.0124, ground
0.938, 0.0332, 0.0065, 0.001, phase
0.938, 0.0332, 0.0064, 0.001, phase
0.9064, 0.0332, 0.0638, 0.0145, ground
0.9064, 0.0331, 0.0638, 0.0145, ground
